REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"Antofagasta";"CALAMA";"3801-32";"ACCESO SUR DE CALAMA COMUNA CALAMA";"63800";"CONCESION A TITULO ONEROSO";"2-posible";"510400";"21709730"
"Antofagasta";"ANTOFAGASTA";"25051-4";"NUDO URIBE SIN NUMERO COMUNA ANTOFAGASTA";"32006";"CONCESION A TITULO ONEROSO";"2-posible";"480084";"20420247"
"Antofagasta";"CALAMA";"3801-18";"ACCESO SUR DE CALAMA LOTE B COMUNA CALAMA";"54400";"CONCESION A TITULO ONEROSO";"2-posible";"435200";"18511117"
"Antofagasta";"CALAMA";"3801-19";"ACCESO SUR DE CALAMA LOTE C COMUNA CALAMA";"54400";"CONCESION A TITULO ONEROSO";"2-posible";"435200";"18511117"
"Antofagasta";"ANTOFAGASTA";"45000-64";"A 48 KMS APROX AL ESTE DEL BARRIO INDUSTRIAL LA NEGRA COMUNA ANTOFAGASTA";"28000";"CONCESION A TITULO ONEROSO";"2-posible";"420000";"17864589"
"Antofagasta";"ANTOFAGASTA";"16351-1 Y 16531-2";"INTERSECCION CALLE BENITO OCAMPO OFICINA ANITA LOTE 1 Y LOTE 2 SECTOR LA CHIMBA BAJO COMUNA A";"27844";"CONCESION GRATUITA";"2-posible";"417654";"17764803"
"Antofagasta";"CALAMA";"2009-124";"SECTOR CHUNCHURI SITIO 32 COMUNA CALAMA";"50100";"CONCESION GRATUITA";"2-posible";"400800";"17047923"
"Antofagasta";"MEJILLONES";"521-7";"AL ESTE DE LA CIUDAD DE MEJILLONES COMUNA MEJILLONES";"80098";"CONCESION GRATUITA";"2-posible";"400488";"17034652"
"Antofagasta";"CALAMA";"3801-16";"ACCESO SUR DE CALAMA LOTE B COMUNA CALAMA";"49000";"CONCESION A TITULO ONEROSO";"2-posible";"392000";"16673617"
"Antofagasta";"CALAMA";"3801-17";"ACCESO SUR DE CALAMA LOTE C COMUNA CALAMA";"49000";"CONCESION A TITULO ONEROSO";"2-posible";"392000";"16673617"
"Antofagasta";"CALAMA";"18000-7";"A 41,33 KMS AL SURESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"48400";"ARRENDAMIENTO";"2-posible";"387200";"16469450"
"Antofagasta";"CALAMA";"6069-1";"SECTOR SUR DE CALAMA COMUNA CALAMA";"47981";"CONCESION A TITULO ONEROSO";"2-posible";"383848";"16326874"
"Antofagasta";"ANTOFAGASTA";"1499-32";"IQUIQUE 4771 AL 4799 COMUNA ANTOFAGASTA";"24736";"CONCESION GRATUITA";"2-posible";"371042";"15782174"
"Tarapacá";"IQUIQUE";"2427-1";"MANZANA L, COMUNA IQUIQUE";"30700";"EN USO RECUPERABLE (texto)";"2-posible";"368400";"15669797"
"Antofagasta";"MEJILLONES";"501-13";"LOTE B SECTOR INDUSTRIAL DE MEJILLONES COMUNA MEJILLONES";"66500";"ARRENDAMIENTO";"2-posible";"332500";"14142800"
"Antofagasta";"ANTOFAGASTA";"16208-10";"EDMUNDO PEREZ ZUJOVIC SIN NUMERO COMUNA ANTOFAGASTA";"22041";"CONCESION GRATUITA";"2-posible";"330619";"14062792"
"Antofagasta";"CALAMA";"16000-15";"CERRITO BAYOS COMUNA CALAMA";"40000";"CONCESION A TITULO ONEROSO";"2-posible";"320000";"13611116"
"Antofagasta";"CALAMA";"716-3";"CALLE DIEGO DE ALMAGRO ESQUINA CALLE COLONIA COMUNA CALAMA";"39900";"CONCESION GRATUITA";"2-posible";"319200";"13577088"
"Antofagasta";"ANTOFAGASTA";"1-14535";"LOTE F ALTOS LA PORTADA COMUNA ANTOFAGASTA";"21218";"CONCESION GRATUITA";"2-posible";"318270";"13537531"
"Antofagasta";"ANTOFAGASTA";"25051-7";"SECTOR NUDO URIBE SIN NUMERO COMUNA ANTOFAGASTA";"21103";"ARRENDAMIENTO";"2-posible";"316542";"13464031"
"Antofagasta";"ANTOFAGASTA";"20000-49";"SECTOR SALAR DEL CARMEN LOTE 2 COMUNA ANTOFAGASTA";"20963";"CONCESION A TITULO ONEROSO";"2-posible";"314451";"13375091"
"Antofagasta";"ANTOFAGASTA";"7534-2";"CALLE GUANAQUEROS LOTE B SECTOR LOS ARENALES COMUNA ANTOFAGASTA";"20078";"CONCESION GRATUITA";"2-posible";"301170";"12810187"
"Antofagasta";"ANTOFAGASTA";"16819-1";"SECTOR LA CHIMBA BAJO COMUNA ANTOFAGASTA";"19787";"ARRENDAMIENTO";"2-posible";"296808";"12624650"
"Antofagasta";"ANTOFAGASTA";"16208-6";"SECTOR NORTE DE ANTOFAGASTA COMUNA ANTOFAGASTA";"17600";"CONCESION GRATUITA";"2-posible";"264000";"11229171"
"Antofagasta";"CALAMA";"3487-2";"COSTADO NORTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"32300";"ARRENDAMIENTO";"2-posible";"258400";"10990976"
"Antofagasta";"TALTAL";"510-4";"CALLE ARTURO PRAT LOTE 1 COMUNA TALTAL";"85360";"CONCESION GRATUITA";"2-posible";"256080";"10892295"
"Antofagasta";"CALAMA";"16000-20";"SECTOR LIMON VERDE COMUNA CALAMA";"31100";"ARRENDAMIENTO";"2-posible";"248800";"10582643"
"Antofagasta";"ANTOFAGASTA";"18070-18";"MANZANA D SITIO 3 SECTOR III AGRICOLA E INDUSTRIAL LA CHIMBA COMUNA ANTOFAGASTA";"16504";"CONCESION GRATUITA";"2-posible";"247558";"10529814"
"Antofagasta";"ANTOFAGASTA";"6736-3";"LOTE 2 SECTOR LA NEGRA COMUNA ANTOFAGASTA";"16190";"ARRENDAMIENTO";"2-posible";"242846";"10329391"
"Antofagasta";"ANTOFAGASTA";"6736-2";"LOTE 1 SECTOR LA NEGRA COMUNA ANTOFAGASTA";"16190";"CONCESION A TITULO ONEROSO";"2-posible";"242846";"10329391"
"Antofagasta";"ANTOFAGASTA";"5642-1";"GRAN AVENIDA RADOMIRO TOMIC SIN NUMERO COMUNA ANTOFAGASTA";"16136";"CONCESION GRATUITA";"2-posible";"242042";"10295193"
"Antofagasta";"CALAMA";"6070-38";"MANZANA 6 B LOTE 2 SECTOR TOPATER COMUNA CALAMA";"29378";"CONCESION GRATUITA";"2-posible";"235021";"9996556"
"Antofagasta";"TOCOPILLA";"804-1";"AL NOROESTE DEL LOTEO TRES MARIAS COMUNA TOCOPILLA";"58394";"CONCESION GRATUITA";"2-posible";"233575";"9935051"
"Antofagasta";"CALAMA";"3301-470";"PUKARA DE LASANA COMUNA CALAMA";"26700";"CONCESION GRATUITA";"2-posible";"213600";"9085420"
