REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;CONF;VALOR_UF;VALOR_USD
Biobío;HUALPEN;4133-4;PATRIA NUEVA 404 COMUNA HUALPEN;2014;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);20141;856692
Antofagasta;CALAMA;5313-16;MANZANA L SITIO 17 EXTENSION PUERTO SECO COMUNA CALAMA;6700;ARRENDAMIENTO;2-posible;Norte (gruesa);20100;854948
Antofagasta;CALAMA;5313-20;MANZANA L SITIO 19 EXTENSION PUERTO SECO COMUNA CALAMA;6700;ARRENDAMIENTO;2-posible;Norte (gruesa);20100;854948
Antofagasta;CALAMA;5313-21;MANZANA L SITIO 20 EXTENSION PUERTO SECO COMUNA CALAMA;6700;ARRENDAMIENTO;2-posible;Norte (gruesa);20100;854948
Tarapacá;ALTO HOSPICIO;5301-5;SITIO 2 MANZANA E COMUNA ALTO HOSPICIO;5024;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);20096;854778
Antofagasta;CALAMA;5004-5;MANZANA 1 SITIO 5-B COMUNA CALAMA;6692;ARRENDAMIENTO;2-posible;Norte (gruesa);20076;853927
Tarapacá;ALTO HOSPICIO;5350-06;CALLE ITALO SCIARAFFIA COMUNA ALTO HOSPICIO;5013;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);20052;852907
Antofagasta;ANTOFAGASTA;25001-24;SITIO 34 SECTOR QUINTAS COMUNA ANTOFAGASTA;5000;ARRENDAMIENTO;2-posible;Norte (gruesa);20000;850695
Antofagasta;ANTOFAGASTA;25000-25;SITIO 39 SECTOR QUINTAS COMUNA ANTOFAGASTA;5000;ARRENDAMIENTO;2-posible;Norte (gruesa);20000;850695
Tarapacá;ALTO HOSPICIO;PREASIGNADO;CALLE RICARDO LAGOS SIN NUMERO COMUNA ALTO HOSPICIO;5000;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);20000;850695
Tarapacá;ALTO HOSPICIO;PREASIGNADO;CALLE PROYECTADA SIN NUMERO COMUNA ALTO HOSPICIO;5000;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);20000;850695
Tarapacá;ALTO HOSPICIO;SIN ROL;CALLE PROYECTADA SIN NUMERO COMUN ALTO HOSPICIO;5000;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);20000;850695
Tarapacá;ALTO HOSPICIO;PREASIGNADO;SITIO DOS MANZANA E COMUNA ALTO HOSPICIO;5000;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);20000;850695
Valparaíso;CARTAGENA;2000-56;CALLE LOS BERGANTINES 162 MANZANA 1 SITIO 56 COMUNA CARTAGENA;3997;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);19987;850142
Antofagasta;ANTOFAGASTA;16176-1;LA CHIMBA CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA;4965;ARRENDAMIENTO;2-posible;Norte (gruesa);19860;844740
Tarapacá;ALTO HOSPICIO;SIN ROL;AVENIDA LAS PARCELAS SIN NUMERO COMUNA ALTO HOSPICIO;4958;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);19832;843549
Tarapacá;ALTO HOSPICIO;5303-6;MANZANA A LOTE 3 COMUNA ALTO HOSPICIO;4958;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);19832;843549
Antofagasta;CALAMA;5313-16;MANZANA L SITIO 16 EXTENSION PUERTO SECO COMUNA CALAMA;6600;ARRENDAMIENTO;2-posible;Norte (gruesa);19800;842188
Antofagasta;CALAMA;5313-19;MANZANA L SITIO 18 EXTENSION PUERTO SECO COMUNA CALAMA;6500;ARRENDAMIENTO;2-posible;Norte (gruesa);19500;829427
Antofagasta;CALAMA;5006-10;LOTE 10 MANZANA 3 YALQUINCHA PUERTO SECO COMUNA CALAMA;6489;ARRENDAMIENTO;2-posible;Norte (gruesa);19467;828024
Metropolitana;NUNOA;1210-7;RENGO 761 - LUIS BELTRAN 1725 SITIO 3 COMUNA NUNOA;460;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);19303;821048
Biobío;TALCAHUANO;3704-1;6 PONIENTE 7020 LOTE 2 COMUNA TALCAHUANO;1607;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);19285;820282
Metropolitana;SANTIAGO;109-745;HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 PISO 11 COMUNA SANTIAGO;543;..;1-disponible/recuperable;Centro (ref. mercado);19005;808373
Biobío;CHIGUAYANTE;2779-1;LA MARINA 519 COMUNA CHIGUAYANTE;1897;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);18972;806969
Antofagasta;CALAMA;5006-14;SITIO 14 MANZANA 3 SECTOR YALQUINCHA COMUNA CALAMA;6323;ARRENDAMIENTO;2-posible;Norte (gruesa);18969;806841
Metropolitana;SAN MIGUEL;5248-96;GRAN AVENIDA 5448 LOTE 1-1 COMUNA SAN MIGUEL;861;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);18935;805395
Metropolitana;RENCA;388-1;NEMESIS 7282 LOTE C COMUNA RENCA;1890;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);18900;803907
Metropolitana;SANTIAGO;109-736;HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 PISO 5 COMUNA SANTIAGO;538;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18830;800929
Metropolitana;SANTIAGO;109-744;HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 PISO 10 COMUNA SANTIAGO;538;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18830;800929
Metropolitana;SANTIAGO;109-737;HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 PISO 6 COMUNA SANTIAGO;538;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18830;800929
Antofagasta;TOCOPILLA;44-19;ACCESO PLANTA NORGENER COMUNA TOCOPILLA;9410;CONCESION GRATUITA;2-posible;Norte (gruesa);18820;800504
Metropolitana;PENAFLOR;151-11;DOCTOR PRADO TAGLE 156 COMUNA PENAFLOR;2685;..;1-disponible/recuperable;Centro (ref. mercado);18795;799440
Antofagasta;CALAMA;5006-12;SITIO 12 MANZANA 3 PUERTO SECO COMUNA CALAMA;6225;ARRENDAMIENTO;2-posible;Norte (gruesa);18675;794336
Valparaíso;VINA DEL MAR;1239-1;SIMON BOLIVAR 415 COMUNA VINA DEL MAR;746;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18638;792762
Antofagasta;ANTOFAGASTA;16071-5;SITIO 5 MANZANA 10 LA CHIMBA COMUNA ANTOFAGASTA;4626;ARRENDAMIENTO;2-posible;Norte (gruesa);18504;787063
Metropolitana;SANTIAGO;2835-9;SAN CAMILO 959 COMUNA SANTIAGO;525;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18389;782171
Metropolitana;NUNOA;5962-5;RAUL SILVA CASTRO 4747 COMUNA NUNOA;438;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);18375;781576
Antofagasta;ANTOFAGASTA;25001-36;SITIO 56 SECTOR QUINTAS COMUNA ANTOFAGASTA;4589;ARRENDAMIENTO;2-posible;Norte (gruesa);18356;780768
Biobío;CONCEPCION;1176-19;GABRIELA MISTRAL LOTE A COMUNA CONCEPCION;1016;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18295;778173
Biobío;CONCEPCION;558-1;ARTURO PRAT 1245 LOTE 1 COMUNA CONCEPCION;1015;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18277;777407
Metropolitana;LO PRADO;1104-1;SANTA ZENOBIA SIN NUMERO ACERA SUR COMUNA LO PRADO;1820;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);18200;774132
Antofagasta;ANTOFAGASTA;7534-1;CALLE GUANAQUEROS LOTE A SECTOR LOS ARENALES COMUNA ANTOFAGASTA;4539;CONCESION GRATUITA;2-posible;Norte (gruesa);18156;772261
Metropolitana;PUDAHUEL;213-1;ARA 259 COMUNA PUDAHUEL;2262;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);18100;769879
Metropolitana;PUDAHUEL;5702-13;FEDERICO ERRAZURIZ 788 LOTE 5-B COMUNA PUDAHUEL;2250;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);18000;765625
Antofagasta;ANTOFAGASTA;25001-49;SITIO 48 SECTOR QUINTAS COMUNA ANTOFAGASTA;4500;ARRENDAMIENTO;2-posible;Norte (gruesa);18000;765625
Antofagasta;CALAMA;5314-9;MANZANA 11 SITIO 9 EXTENSION PUERTO SECO COMUNA CALAMA;6000;ARRENDAMIENTO;2-posible;Norte (gruesa);18000;765625
Antofagasta;CALAMA;5328-4;MANZANA 12 SITIO 4 EXTENSION PUERTO SECO COMUNA CALAMA;6000;ARRENDAMIENTO;2-posible;Norte (gruesa);18000;765625
Antofagasta;CALAMA;5331-3;MANZANA 10 SITIO 3 EXTENSION PUERTO SECO COMUNA CALAMA;6000;ARRENDAMIENTO;2-posible;Norte (gruesa);18000;765625
Antofagasta;CALAMA;5314-1;MANZANA 11 SITIO 1 EXTENSION PUERTO SECO COMUNA CALAMA;6000;ARRENDAMIENTO;2-posible;Norte (gruesa);18000;765625
Antofagasta;CALAMA;5314-7;MANZANA 11 SITIO 7 EXTENSION PUERTO SECO COMUNA CALAMA;6000;ARRENDAMIENTO;2-posible;Norte (gruesa);18000;765625
