ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
1502-593;Vina Del Mar;VA;AV;Zona AV;Espacio público, áreas verdes (parques, plazas y jardines).;Todo tipo de uso residencial y además todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
2380-22;Vina Del Mar;VA;E5;Zona E5;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social. Actividades productivas inofensivas, infraestructura de transporte. Espacio público y áreas verdes.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
2045-1;Valparaiso;VA;ZCHLF;Zona ZCHLF;Residencial. Equipamiento de: comercio, educación, culto y cultura, deporte, salud, seguridad y servicios. Actividades productivas inofensivas.. Infraestructura ya existente sin amplificaciones futuras. Espacio público y áreas verdes.;Equipamiento no mencionado como permitidos, actividades productivas molestas o peligrosas. Más detalle revisar Ordenanza.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
1223-18;Vina Del Mar;VA;V10/RU-3;Zona V10/RU-3;Residencial. Equipamiento de: comercio,científico, culto, cultura, deporte, educación, salud, servicios, social, infraestructura transportes. Espacio público y áreas verdes. Más detalle revisar Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
6815-8;San Antonio;VA;ZM2;ZM2 Zona Mixta 2;Residencial, equipamiento: científico, comercial, deporte, educación, esparcimiento, salud, seguridad, social, servicio, infraestructura sanitaria y energética, área verde y espacio público. Para mayor especificación revisar Ordenan;Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.;;;;San Antonio;PRC_San_Antonio
6114-9;Valparaiso;VA;ZCH-DR;ZCH-DR;Residencial. Equipamiento de: comercio, oficinas, salud, educación, seguridad, comunitario y recreativo. Espacio público de áreas verdes y vialidad. Actividades productivas inofensivas.;Todos los no mencionados como permitidos.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
1001-43/1001-44/1001-45/1001-46/1001-47/1001-48/1001-49;Cartagena;VA;E;Zona E Zona de Restricción de playas;Sólo se permitirán las instalaciones complementarias a las actividades recreativas de playa: sombreaderos, kioskos, vestidores, muelles y otros similares.;Todos aquellos no señalados precedentemente.;;;;Cartagena;PRC_Cartagena
39-8;Valparaiso;VA;ZCHA;Zona ZCHA;Residencial. Equipamiento de: comercio, culto y cultura, deporte, salud, educación, seguridad y servicios. Actividades productivas inofensivas asimilables a equipamiento de comercio o servicios. Infraestructura. Más detalle en Ordenanza.;Vivienda en 1° piso, seguridad (cárceles y centros de detención), actividades productivas molestas o peligrosas. Más detalle revisar Ordenanza.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
2284-16;Vina Del Mar;VA;V7;Zona V7;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
2469-954;Vina Del Mar;VA;V7;Zona V7;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
