REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"13- REGION METROPOLITANA";"SANTIAGO";"201-7";"SANTO DOMINGO 685 - 687 - 689 COMUNA SANTIAGO";"701";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"24518";"1042867"
"13- REGION METROPOLITANA";"SANTIAGO";"35-4";"LIBERTAD 1550 COMUNA SANTIAGO";"676";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"23644";"1005691"
"13- REGION METROPOLITANA";"MACUL";"8163-1";"SAN MARCOS 4551 COMUNA MACUL";"1307";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"23526";"1000672"
"13- REGION METROPOLITANA";"SANTIAGO";"151-111";"ALMIRANTE MONTT 454 COMUNA SANTIAGO";"657";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"23011";"978767"
"13- REGION METROPOLITANA";"PENALOLEN";"9334-17";"CONSISTORIAL 1667 COMUNA PENALOLEN";"1435";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"22954";"976342"
"13- REGION METROPOLITANA";"LA GRANJA";"5307-8";"SAN GREGORIO 0797 COMUNA LA GRANJA";"2293";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"22933";"975449"
"13- REGION METROPOLITANA";"LA GRANJA";"5274-20";"SAN GREGORIO 0684 COMUNA LA GRANJA";"2285";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"22850";"971919"
"13- REGION METROPOLITANA";"LO PRADO";"11755-1";"LOS TAMARINDOS 5901 COMUNA LO PRADO";"2280";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"22800";"969792"
"13- REGION METROPOLITANA";"RENCA";"1302-10";"ZEUS 919 COMUNA RENCA";"2280";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"22800";"969792"
"13- REGION METROPOLITANA";"SANTIAGO";"53-9";"MANUEL RODRIGUEZ 33 COMUNA SANTIAGO";"651";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"22768";"968431"
"13- REGION METROPOLITANA";"SANTIAGO";"35-58";"TEATINOS 28 TEATINOS 40 COMUNA SANTIAGO";"650";"..";"1-disponible/recuperable";"22750";"967665"
"13- REGION METROPOLITANA";"SANTIAGO";"266-37";"SANTO DOMINGO 2398 COMUNA SANTIAGO";"644";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"22540";"958733"
"13- REGION METROPOLITANA";"EL BOSQUE";"15180-223";"LO MORENO 217 LOTE B COMUNA EL BOSQUE";"2502";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"22516";"957712"
"13- REGION METROPOLITANA";"QUINTA NORMAL";"3513-3";"GENERAL NOVOA 4183 LOTE 1-A Y LOTE 1-B COMUNA QUINTA NORMAL";"1400";"..";"1-disponible/recuperable";"22400";"952778"
"08- REGION DEL BIOBIO";"CONCEPCION";"137-71 Y 137-72";"OHIGGINS 740 SUBTERRANEO 1 Y SUBTERRANEO 2 COMUNA CONCEPCION";"1241";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"22345";"950439"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"3063-2";"CARCEL 491 LOTE 2 COMUNA VALPARAISO";"1484";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"22253";"946525"
"13- REGION METROPOLITANA";"SAN JOAQUIN";"4818-1";"RUBENS 4767 COMUNA SAN JOAQUIN";"1282";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"21794";"927002"
"13- REGION METROPOLITANA";"SANTIAGO";"438-88";"ERASMO ESCALA 2436 AL 2444 COMUNA SANTIAGO";"619";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"21649";"920835"
"13- REGION METROPOLITANA";"LA FLORIDA";"751-43";"SANTA JULIA 1111 COMUNA LA FLORIDA";"1545";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"21627";"919899"
"05- REGION DE VALPARAÍSO";"VILLA ALEMANA";"SIN ROL";"BAQUEDANO SIN NUMERO INTERIOR LOTE A-18 COMUNA VILLA ALEMANA";"2401";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"21609";"919133"
"08- REGION DEL BIOBIO";"CONCEPCION";"321-145";"SALTO DEL LAJA 860 LOTE E-3 COMUNA CONCEPCION";"1200";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"21600";"918750"
"13- REGION METROPOLITANA";"PADRE HURTADO";"317-22";"SAN FRANCISCO DE BORJA 101 ANTES 055 COMUNA PADRE HURTADO";"3560";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"21360";"908542"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"2019-5";"SANTIAGO SEVERIN 10 COMUNA VALPARAISO";"1419";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"21282";"905224"
"13- REGION METROPOLITANA";"SANTIAGO";"338-1";"PORTALES 2807 - 2805 - 2803 COMUNA SANTIAGO";"605";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"21175";"900673"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"6114-9";"RAMADITAS 1104 - 1126 COMUNA VALPARAISO";"1409";"..";"1-disponible/recuperable";"21128";"898674"
"13- REGION METROPOLITANA";"LA GRANJA";"5238-1";"VALDIVIA 0651 COMUNA LA GRANJA";"2098";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"20984";"892549"
"08- REGION DEL BIOBIO";"CONCEPCION";"1352-23";"PASAJE 21 2030 TENIENTE MERINO 1 COMUNA CONCEPCION";"1160";"..";"1-disponible/recuperable";"20881";"888168"
"05- REGION DE VALPARAÍSO";"CARTAGENA";"1001-43/1001-44/1001-45/1001-46/1001-47/1001-48/1001-49";"COSTANERA DEL MAR 124 LOTE 14 (A-2) COMUNA CARTAGENA";"4135";"..";"1-disponible/recuperable";"20675";"879406"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"39-8";"MELGAREJO 669 EDIFICIO ESMERALDA COMUNA VALPARAISO";"1373";"..";"1-disponible/recuperable";"20588";"875705"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"7100-3";"SANTA LUCIA 437 COMUNA VALPARAISO";"1361";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"20415";"868347"
"13- REGION METROPOLITANA";"SAN JOAQUIN";"5443-13";"CARMEN MENA 230 EX 270 COMUNA SAN JOAQUIN";"1199";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"20383";"866986"
"08- REGION DEL BIOBIO";"HUALPEN";"4133-4";"PATRIA NUEVA 404 COMUNA HUALPEN";"2014";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"20141";"856692"
"05- REGION DE VALPARAÍSO";"CARTAGENA";"2000-56";"CALLE LOS BERGANTINES 162 MANZANA 1 SITIO 56 COMUNA CARTAGENA";"3997";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"19987";"850142"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"1078-8";"PLAYA ANCHA 301 Y 303 AL 315 COMUNA VALPARAISO";"1315";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"19730";"839210"
"13- REGION METROPOLITANA";"NUNOA";"1210-7";"RENGO 761 - LUIS BELTRAN 1725 SITIO 3 COMUNA NUNOA";"460";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"19303";"821048"
"08- REGION DEL BIOBIO";"TALCAHUANO";"3704-1";"6 PONIENTE 7020 LOTE 2 COMUNA TALCAHUANO";"1607";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"19285";"820282"
"13- REGION METROPOLITANA";"SANTIAGO";"109-745";"HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 PISO 11 COMUNA SANTIAGO";"543";"..";"1-disponible/recuperable";"19005";"808373"
"08- REGION DEL BIOBIO";"CHIGUAYANTE";"2779-1";"LA MARINA 519 COMUNA CHIGUAYANTE";"1897";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"18972";"806969"
"13- REGION METROPOLITANA";"SAN MIGUEL";"5248-96";"GRAN AVENIDA 5448 LOTE 1-1 COMUNA SAN MIGUEL";"861";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"18935";"805395"
"13- REGION METROPOLITANA";"RENCA";"388-1";"NEMESIS 7282 LOTE C COMUNA RENCA";"1890";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"18900";"803907"
"13- REGION METROPOLITANA";"SANTIAGO";"109-736";"HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 PISO 5 COMUNA SANTIAGO";"538";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"18830";"800929"
