id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"397";"110-21";"";"";"";"0";"";"0";"";""
"398";"877-14";"";"";"";"0";"";"0";"";""
"399";"800-204";"";"";"";"0";"";"0";"";""
"400";"8018-28";"";"";"";"0";"";"0";"";""
"401";"70-2";"";"";"";"0";"";"0";"";""
"402";"244-29";"";"";"";"0";"";"0";"";""
"403";"3020-8";"";"";"";"0";"";"0";"";""
"404";"6056-45";"";"";"";"0";"";"0";"";""
"405";"927-13";"";"";"";"0";"";"0";"";""
"406";"165-41";"";"";"";"0";"";"0";"";""
"407";"177-3";"";"";"";"0";"";"0";"";""
"408";"2026-25";"";"";"";"0";"";"0";"";""
"409";"180-110";"";"";"";"0";"";"0";"";""
"410";"177-9";"";"";"";"0";"";"0";"";""
"411";"3272-20";"";"";"";"0";"";"0";"";""
"412";"1061-4";"";"";"";"0";"";"0";"";""
"413";"2006-13";"";"";"";"0";"";"0";"";""
"414";"177-255";"";"";"";"0";"";"0";"";""
"415";"2472-311";"";"";"";"0";"";"0";"";""
"416";"5131-1";"";"";"";"0";"";"0";"";""
"417";"1001-40";"";"";"";"0";"";"0";"";""
"421";"22-34";"";"";"";"0";"";"0";"";""
"422";"422-4";"";"";"";"0";"";"0";"";""
