REGION;ROL;NOMBRE;COMUNA;LAT;LON
"Antofagasta";"4521-2";"SITIO 17 MANZANA R LOTEO VILAMA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.90768438034615";"-68.19047819623941"
"Antofagasta";"10001-13";"LOTE B SECTOR PAMPA LA BOLA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.985639949025764";"-67.74042275442781"
"Antofagasta";"10001-15";"LOTE D SECTOR PAMPA LA BOLA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.990790739834015";"-67.73116001425257"
"Antofagasta";"3540-192";"SITIO D-2 MANZANA D AYLLU DE SEQUITOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.937958428265926";"-68.21043525980487"
"Antofagasta";"4504-12";"MANZANA E SITIO 18 LOTEO VILLA ALTO MIRADOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.911273377098734";"-68.193016165541"
"Antofagasta";"3490-2";"PUEBLO DE SAN PEDRO DE ATACAMA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.909828671613568";"-68.19784880057388"
"Antofagasta";"4508-3";"MANZANA L SITIO 3 LOTEO VILLA ALTO MIRADOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.912409271011217";"-68.19211455131261"
"Antofagasta";"3510-150";"CALLEJON FLORES AYLLO DE QUITOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.89479631191591";"-68.2132627421419"
"Antofagasta";"3545-402";"COSTADO SUR ESCUELA G-25 COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.9460811674139";"-68.18578662487377"
"Antofagasta";"3560-86";"AYLLO DE COYO CAMPO DE PASTOREO YAMALA-BALTINACHE LOTE A COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.984039340052462";"-68.22284706889505"
"Antofagasta";"3545-362";"SITIO 2 MANZANA H VILLA SOLOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.938625290997223";"-68.185444147559"
